번호,사용브랜드,사용기간,구매장소,구매가격,정보획득,구입조언,하루사용시간,브랜드이미지,가격만족도,재구매의향,구매중요도1_메모리,구매중요도2_배터리,구매중요도3_카메라,구매중요도4_처리속도,구매중요도5_보안기능,구매중요도6_운영체계,구매중요도7_디자인,구매중요도8_음질,구매중요도9_A/S,구매중요도10_명성 ,성별,연령,연령2,학력,직업,월수입,결혼,가족수
140,2,3,4,170,6,3,5,1,2,2,2,3,4,2,5,2,4,4,1,2,1,3,2,4,2,5,1,4
128,2,5,4,180,6,4,3,4,5,5,1,2,3,1,5,1,2,3,5,3,1,6,3,1,9,3,3,2
25,2,3,5,180,6,5,3,3,3,3,4,5,4,2,4,4,3,3,4,4,1,4,2,6,4,5,1,4
149,2,2,3,182,6,2,5,2,3,2,1,2,3,2,2,4,5,5,3,4,1,3,2,4,4,6,2,2
244,2,4,1,190,5,5,2,3,5,4,1,2,2,3,4,1,1,2,4,2,0,5,3,4,4,2,2,4
90,2,3,2,190,6,2,2,2,4,3,4,5,4,2,4,4,5,5,4,5,0,4,2,4,4,5,1,4
177,2,1,5,200,3,5,5,3,3,4,5,5,3,4,5,5,1,1,5,3,1,5,3,8,4,5,2,1
180,2,3,4,200,1,4,4,4,4,5,1,2,1,1,5,1,2,3,4,3,0,5,3,8,3,6,2,2
153,2,5,5,200,2,4,4,5,3,4,1,2,2,2,5,2,2,5,5,2,1,5,3,6,6,5,1,2
43,2,1,2,200,2,4,5,2,3,3,1,2,3,3,1,2,3,2,2,2,0,3,2,8,4,5,2,1
75,2,5,4,200,6,3,5,1,2,2,4,4,3,3,2,2,3,3,2,2,1,4,2,4,2,5,2,2
114,2,5,2,200,5,1,3,2,3,3,1,2,3,1,2,3,3,2,3,3,0,2,1,2,7,3,2,3
74,2,5,4,200,6,2,5,1,3,2,1,2,3,2,1,1,4,4,1,2,1,3,2,4,2,5,2,2
137,2,2,5,200,6,2,3,2,3,3,2,3,4,1,4,2,4,3,1,1,0,2,1,7,8,2,1,2
226,2,3,5,200,6,2,1,3,2,3,2,2,4,3,2,2,4,3,2,2,0,2,1,6,4,6,2,2
98,2,5,1,200,2,3,2,4,3,4,2,1,3,1,3,2,4,2,2,1,0,3,2,6,4,3,2,2
242,2,3,1,200,2,1,2,4,2,3,1,2,3,2,5,2,5,5,5,5,1,1,1,2,1,2,1,1
72,2,5,2,250,1,4,2,3,3,3,1,3,3,1,1,2,3,2,2,1,0,3,2,8,3,6,1,1
